歌曲名,艺术家,专辑名
那是你离开了北京的生活,薛之谦,怪咖
中国奇谭01小妖怪的夏天,伴读·回声,中国奇谭 | 动画原声剧
中国奇谭03林林,伴读·回声,中国奇谭 | 动画原声剧
中国奇谭,李袈,你喜欢长发却留着短发
lost my pieces×0.8,江峙、Eliaukub,降调×
Lost my pieces (Piano Ver.),橋本由香利,とらドラ!オリジナル・サウンドトラック エクスとら! (龙与虎! 原声带  EXTRA)
兰亭序 (2022央视夏日歌会“这young的夏天”现场),周深,
好帅呦,老猫、王蓉,好帅呦
Highlight,吉克隽逸、王者荣耀,Highlight
风的季节 (片段),广东雨神、许华升,
风的季节 (东北版改编),张涵雨,
风的季节 (东北粤语版片段),房岩,
东北民谣 (Live),小沈阳,跨界歌王第五季 第6期
东北民谣 (Live),毛不易,合唱吧!300 第6期
东北的冬,小沈阳,猛虫过江 电影原声带
西海情歌,降央卓玛,终极纯色女声
崭露锋芒,李常超（Lao乾妈）,崭露锋芒
三两三 (二人转版),张小健,三两三（二人转版）
白狐 + see you again (Live),Deepain,
面壁者,G.E.M.邓紫棋,面壁者
此身,张远、王者荣耀,此身
琳,BOBBYNOPEACE、LSGCsikoriot、CashMoon,琳
暖一杯茶 (0.8x版),多谎话,
暖一杯茶,邵帅,暖一杯茶
迟来的情话,张家旺,迟来的情话
迟来的情话,王大毛,迟来的情话
迟来的情话(女声版),Zkaaai,迟来的情话 (女声版)
阿飞的小蝴蝶,萧敬腾,王妃
你,萧敬腾,狂想曲
超度我+兰若度母 (Live),福禄寿FloruitShow,
兰若度母,福禄寿FloruitShow,我用什么把你留住
兰若度母,福禄寿FloruitShow,我用什么把你留住
越过山丘 (Live),李雅,中国新歌声第二季 第6期
三两三 (Single Version),张小健,
三两三,张小健,
三两三,凌丰,三两三
莫问,王富贵,莫问
兰若度母,福禄寿FloruitShow,兰若度母
月下,苏运莹,月下
那是你离开了北京的生活,薛之谦,怪咖
lost my pieces×0.8,江峙、Eliaukub,降调×
Lost my pieces (Piano Ver.),橋本由香利,とらドラ!オリジナル・サウンドトラック エクスとら! (龙与虎! 原声带  EXTRA)
明明就 (Live),刘宪华,
明明就,周杰伦,十二新作
红尘客栈 (Live),田震,
红尘客栈,周杰伦,十二新作
蓝色雨 (Live版),温岚,时光音乐会2 第4期
直来直往 (Live版),孙悦,时光音乐会2 第4期
水中花,郁可唯,时光音乐会 第2期
小小 (Live版),胡夏,时光音乐会2 第4期
听见下雨的声音 (Live版),周深,时光音乐会2 第4期
一直很安静 (Live版),阿杜,时光音乐会2 第4期
阿珍爱上了阿强,五条人,梦幻丽莎发廊
兰亭序 (2022央视夏日歌会“这young的夏天”现场),周深,
兰亭序 (粤语),王十三,
星火,吉克隽逸、王者荣耀,星火
好帅呦,老猫、王蓉,好帅呦
Highlight,吉克隽逸、王者荣耀,Highlight
你爱我坏,小鬼阿秋,你爱我坏
梦里花,张韶涵,梦里花
梦里花,李泳璇（阿璇）,梦里花
东北民谣 (Live),小沈阳,跨界歌王第五季 第6期
东北民谣 (Live),毛不易,合唱吧!300 第6期
东北的冬,小沈阳,猛虫过江 电影原声带
崭露锋芒,李常超（Lao乾妈）,崭露锋芒
三两三 (二人转版),张小健,三两三（二人转版）
白狐 + see you again (Live),Deepain,
面壁者,G.E.M.邓紫棋,面壁者
此身,张远、王者荣耀,此身
暖一杯茶 (0.8x版),多谎话,
暖一杯茶,邵帅,暖一杯茶
迟来的情话,张家旺,迟来的情话
你,萧敬腾,狂想曲
阿飞的小蝴蝶,萧敬腾,王妃
超度我,福禄寿FloruitShow,超度我
越过山丘 (Live),李雅,中国新歌声第二季 第6期
三两三,张小健,
三两三,凌丰,三两三
莫问,王富贵,莫问
兰若度母,福禄寿FloruitShow,兰若度母
月下,苏运莹,月下
凌乱的脚步,韩红,满江红电影原声音乐
花火,韩红,满江红电影原声音乐
爱如火,那艺娜,爱如火
你不是真正的快乐 (Live),G.E.M.邓紫棋,我是歌手第二季 半决赛
黑夜问白天,泥人,听说你也爱听林俊杰
晚风心里吹,王赫野,晚风心里吹
我们的爱,于佰万,我们的爱
寂寞烟火,烟(许佳豪),寂寞烟火（烟嗓）
情色,司徒骏文、林嘉,情色
愿望,司徒骏文,愿望
大东北我的家乡,何玉,大东北我的家乡
那是你离开了北京的生活,薛之谦,怪咖
玫瑰少年,伦桑,玫瑰少年
Lydia,趙家豪gary,Lydia
怎么了,郝宇星,怎么了
爱上,孙永新,爱上
我的美丽,小霞,小霞 2.0
Begging You,Logic,Listen
桃花诺,G.E.M.邓紫棋,上古情歌 电视剧原声带
那个男人 (Live),The One,我是歌手第三季 第7期
一路向北 (女声版),余不不,一路向北
拿走了什么,黄丽玲,罪恶感
给我一个理由忘记 (Live),黄丽玲,我是歌手第三季 第1期
阿飞的小蝴蝶,萧敬腾,王妃(Live影音限定版)
小城夏天,LBI利比,小城夏天
乌兰巴托的夜 (Live),谭维维,我是歌手第三季 第12期
Letting Go（Cover 蔡健雅）,Euvien,Letting Go
与你到永久（烟嗓）,烟(许佳豪),与你到永久（烟嗓）
根本你不懂的爱我,背風點煙Hamal,一把溫柔刀
我看了56次日落,EN route-T、邹念慈,有人爱 有期待
最,9iay,最
留什么给你 (粤国语版),王晴音乐,留什么给你 (国粤语版)
爱情废柴 (这个冬天会冷吗),余不不,明明就爱情废柴
谢谢你的爱,Dog,谢谢你的爱
一滴泪的时间,刘珉轩,一滴泪的时间
在心里从此永远有个你,办桌二人组,永远的朋友
我终于失去了你,赵传,隐藏的歌手 第七期
女人的选择-烟嗓版,李先生,你我约定有三
潮汐（女声DJ版）,阿音呀,潮汐（女声DJ版）
对你说 DJ,精彩黑影,对你说 DJ
若把你,Kirsty刘瑾睿,若把你
武家坡2021,龍猛寺寬度,武家坡 2021
溜溜的情歌（DJ弹鼓版）（邹某人 remix）,邹某人,2022车载音乐第五集
拥抱你离去,黄晓凤,48小时摇摆
骗子,文夫,骗子
陪你左右,祖峰,欢乐颂 电视原声带
依然爱你,chewie 甲甲甲！,依然爱你
Crazy,BBX、Tony T、Alba Kras,Crazy
犯错 (DJ版),赵允哲,DJ舞曲(抖音热搜)系列 贰
当,林宝馨,当
漫步人生路,邓丽君,邓丽君15周年·30周年(限量版)
贺一航-原来占据你内心的人不是我（董梦杰 remix）,丝竹声韵,老歌经典
如果这就是爱情,佳er,如果这就是爱情
蓝,石白其,蓝
我是真的爱上你,阿冗,我是真的爱上你
呼吸决定,Fine乐团,I'm Sorry
美丽的神话,于佰万,美丽的神话
断点,巧乐兹,断点
哥 只是个传说,陈旭,哥 只是个传说
How to love[刘宪华LoopStation版](L1CeKop Remake),黎车长L1CeKop,Li's Recording
偏爱和例外,烟(许佳豪),偏爱和例外
回家之路 II,徐乐同,《独行月球》电影原声专辑
回家之路 I,徐乐同,《独行月球》电影原声专辑
暖一杯茶,邵帅,暖一杯茶
真的爱着你,Rock-刀客,只想与你相逢2020
下一个天亮,颜人中,月光、背影与海
习惯一个人,刘崇健,习惯一个人
我多想拥抱你,黑屋乐队,玫瑰凭证
你也没有错,王贰浪,你也没有错
大城小爱（完整版）,李家鑫,大城小爱
做我老婆好不好.,小茹同学,祝榕蔚
是非题,粥粥和小伙、粥粥,是非题
好烦噢 (寒风吹进我的家),穆傲寒,好烦噢 (寒风吹进我的家)
Free Loop,Jake＆Eddy,Free Loop
揉碎夜的光 (Live),王靖雯不胖,为歌而赞第二季 第9期
再见莫妮卡,彭席彦、Franky弗兰奇,再见莫妮卡
失落沙洲 ,高睿,失落沙洲
张宇-曲终人散（DamRugar remix）,DamRugar,曲终人散
你过得好吗,刘大拿,你过得好吗
最美好的时光 (Live),陈娴静、范例三、山姆Someshit、桃子A1J、AndyShow安迪秀、KEYNO,最美好的时光 (Live)
孤独的船,王乐蔚,孤独的船
你画的彩虹,姜洋,你画的彩虹
达尔文,蔡健雅,预见爱情
第一次爱的人,王心凌,My! Cyndi!
背对背拥抱,澪恩Seiwen,背对背拥抱
分分钟需要你,林子祥,林子祥精选集
勇往直前（动画片《熊出没之探险日记》主题曲）,卜口生,猪精女孩
怀抱（Cover 弹壳）,GuiltLy,怀抱
嘉宾,路飞文,嘉宾
最后一页（完整版）,洛尘鞅_,最后一页
违背的青春,薛之谦,怪咖
篝火旁,吕大叶、马子林、陈觅Lynne,313
给你呀（又名：for ya）,蒋小呢,for ya
爱的哲学,牟凡,爱的哲学
把回忆拼好给你,王贰浪,把回忆拼好给你
我在等,林宝馨,我在等
根本你不懂得爱我（女生版）,梁爽凉爽,根本你不懂得爱我（女生版）
下雨天,与少年他、芝麻Mochi,下雨天
别怕我伤心,小阿枫,别怕我伤心
你从未离去,于佰万,你从未离去
友情多余暧昧未够,乐思言,友情多余暧昧未够
艺术家,MaySeventeen,艺术家
最爱,阿梨粤,最爱
11,队长、黄礼格,11
雨,沈以诚,以家人之名 影视原声带
Don't Stop,邓典,做作作祟
可惜不是你,一个跑调伟,可惜不是你
就是爱你(正式版),李浩然,就是爱你 (正式版)
当年情 (Live),张国荣,顾听生辉 乐坛大宗师经典半世纪
Dilemma (Remake),Vedo,Dilemma (Remake)
爱不爱我,周晓鸥,追光吧 第1期
红豆,要不要买菜,红豆
风吹过八千里,苏星婕,风吹过八千里
忘不了的是你（新版）,刘大壮,忘不了的是你
指纹,杜宣达,指纹
圆,AGA,Ginadoll
删了吧,烟(许佳豪),删了吧
雪下的时候,伍乐,冬天
富士山下,陈奕迅,What's Going On…?
哪里都是你,队长,哪里都是你
我们的歌（翻自 王力宏）,小山xl,嗨嗨这里是骸歌大人~
危险派对,王以太、刘至佳,危险派对
家在东北,牧歌,牧歌的云音乐
路过人间,郁可唯,时光音乐会 第1期
漠河舞厅,柳爽,1st.星球
情歌,梁静茹,现在开始我爱你
失忆(抖音版),群星,时间是让人措不及防的东西
小镇姑娘,你的九儿,小镇姑娘
第三人称,桃德李Todd Li,第三人称
你的轮廓,叶琼琳,你的轮廓
男孩别哭,海龟先生,海龟先生
这世界那么多人,莫文蔚,这世界那么多人
那年·年少,宋宇宁,那年·年少
上了年纪的男人,大壮,上了年纪的男人
三巡,宋宇宁,四季 - 冬
盛夏,毛不易,平凡的一天
死性不改,陈柯霓（CHENge）,死性不改
最爱,周慧敏,最爱
我最亲爱的(深情男声版),韩小欠,我最亲爱的 (深情男声版)
Kill The Game,Round_2、贰万、早安,Kill The Game
保留,郭顶,飞行器的执行周期
口是心非 (烟嗓版),半吨兄弟,口是心非 (烟嗓版)
大眠 (完整版),小乐哥（王唯乐）,大眠 (完整版)
没那么简单,Mia苗睿婷,翻唱
Here We Go (Original Edit),Klaas、Mazza,Here We Go
一分一寸,阿YueYue、李娜娜_Nana,一分一寸
阿衣莫,阿吉太组合,阿衣莫
我结婚了,阔落,Hedy's music
会呼吸的痛（Cover 梁静茹）,王睿,Cover Song
